	id	species	gene_names	gene_synonyms	description	term_ids	sources
7863	7863	ath	YI		yellowish flower buds. yellow-gray sharp leaves.		TAIR
6352	6352	ath	EMB1209		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6353	6353	ath	EMB1210		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6354	6354	ath	EMB1212		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6355	6355	ath	EMB1213		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6356	6356	ath	EMB1214		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6357	6357	ath	EMB1215		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6358	6358	ath	EMB1216		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6359	6359	ath	EMB1217		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6360	6360	ath	EMB1218		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6351	6351	ath	EMB1208		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6361	6361	ath	EMB122		developmental arrest of mutant embryos occurs at variable linear stage, watery. white seeds. pale green to green embryo. 18.8% mutant. 48.3% aborted seeds in top half of silique.		TAIR
6363	6363	ath	EMB1222		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6364	6364	ath	EMB1223		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6365	6365	ath	EMB1224		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6366	6366	ath	EMB1227		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6367	6367	ath	EMB1228		embryo defective. further details not available.		TAIR
6368	6368	ath	EMB1229		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6369	6369	ath	EMB123		developmental arrest of mutant embryos occurs at late preglobular stage. white seeds. 16.1% mutant. 50.9% aborted seeds in top half of silique.		TAIR
6370	6370	ath	EMB1230		embryo defective. terminal embryo phenotype: zygotic stage.		TAIR
6371	6371	ath	EMB1231		embryo defective. terminal embryo phenotype: preglobular stage.		TAIR
6362	6362	ath	EMB1221		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6372	6372	ath	EMB1232		embryo defective. terminal embryo phenotype: variable.		TAIR
6350	6350	ath	EMB1207		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6348	6348	ath	EMB1205		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6328	6328	ath	EMB118		developmental arrest of mutant embryos occurs at small heart-torpedo stage. white seeds. white embryo. 20.5% mutant. 60.5% aborted seeds in top half of silique.		TAIR
6329	6329	ath	EMB1182		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6330	6330	ath	EMB1183		embryo defective. terminal embryo phenotype: cotyledon stage.		TAIR
6331	6331	ath	EMB1184		embryo defective. terminal embryo phenotype: transition stage.		TAIR
6332	6332	ath	EMB1185		embryo defective. terminal embryo phenotype: globular stage.		TAIR
6333	6333	ath	EMB1188		embryo defective. further details not available.		TAIR
6334	6334	ath	EMB1189		embryo defective. terminal embryo phenotype: variable.		TAIR
6335	6335	ath	EMB1190		embryo defective. terminal embryo phenotype: zygotic/preglobular stage.		TAIR
6336	6336	ath	EMB1191		embryo defective. further details not available.		TAIR
