group_id,group_name
ko03010,Ribosome - Solanum lycopersicum (tomato)
ko00600,Sphingolipid metabolism - Solanum lycopersicum (tomato)
ko03018,RNA degradation - Solanum lycopersicum (tomato)
ko03420,Nucleotide excision repair - Solanum lycopersicum (tomato)
ko01040,Biosynthesis of unsaturated fatty acids - Solanum lycopersicum (tomato)
ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis - Solanum lycopersicum (tomato)"
ko00908,Zeatin biosynthesis - Solanum lycopersicum (tomato)
ko00513,Various types of N-glycan biosynthesis - Solanum lycopersicum (tomato)
ko00860,Porphyrin and chlorophyll metabolism - Solanum lycopersicum (tomato)
ko03022,Basal transcription factors - Solanum lycopersicum (tomato)
ko00061,Fatty acid biosynthesis - Solanum lycopersicum (tomato)
ko00073,"Cutin, suberine and wax biosynthesis - Solanum lycopersicum (tomato)"
ko00280,"Valine, leucine and isoleucine degradation - Solanum lycopersicum (tomato)"
ko00052,Galactose metabolism - Solanum lycopersicum (tomato)
ko00770,Pantothenate and CoA biosynthesis - Solanum lycopersicum (tomato)
ko00040,Pentose and glucuronate interconversions - Solanum lycopersicum (tomato)
ko04122,Sulfur relay system - Solanum lycopersicum (tomato)
ko00460,Cyanoamino acid metabolism - Solanum lycopersicum (tomato)
ko00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Solanum lycopersicum (tomato)
ko00220,Arginine biosynthesis - Solanum lycopersicum (tomato)
ko00760,Nicotinate and nicotinamide metabolism - Solanum lycopersicum (tomato)
ko00261,Monobactam biosynthesis - Solanum lycopersicum (tomato)
ko00190,Oxidative phosphorylation - Solanum lycopersicum (tomato)
ko00903,Limonene and pinene degradation - Solanum lycopersicum (tomato)
ko00670,One carbon pool by folate - Solanum lycopersicum (tomato)
ko03430,Mismatch repair - Solanum lycopersicum (tomato)
ko00230,Purine metabolism - Solanum lycopersicum (tomato)
ko03060,Protein export - Solanum lycopersicum (tomato)
ko00590,Arachidonic acid metabolism - Solanum lycopersicum (tomato)
ko00620,Pyruvate metabolism - Solanum lycopersicum (tomato)
ko04626,Plant-pathogen interaction - Solanum lycopersicum (tomato)
ko00966,Glucosinolate biosynthesis - Solanum lycopersicum (tomato)
ko00906,Carotenoid biosynthesis - Solanum lycopersicum (tomato)
ko00300,Lysine biosynthesis - Solanum lycopersicum (tomato)
ko00902,Monoterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko03020,RNA polymerase - Solanum lycopersicum (tomato)
ko00562,Inositol phosphate metabolism - Solanum lycopersicum (tomato)
ko03008,Ribosome biogenesis in eukaryotes - Solanum lycopersicum (tomato)
ko00196,Photosynthesis - antenna proteins - Solanum lycopersicum (tomato)
ko00910,Nitrogen metabolism - Solanum lycopersicum (tomato)
ko00410,beta-Alanine metabolism - Solanum lycopersicum (tomato)
ko00901,Indole alkaloid biosynthesis - Arabidopsis thaliana (thale cress)
ko00561,Glycerolipid metabolism - Solanum lycopersicum (tomato)
ko00650,Butanoate metabolism - Solanum lycopersicum (tomato)
ko00965,Betalain biosynthesis - Solanum lycopersicum (tomato)
ko00565,Ether lipid metabolism - Solanum lycopersicum (tomato)
ko00100,Steroid biosynthesis - Solanum lycopersicum (tomato)
ko04130,SNARE interactions in vesicular transport - Solanum lycopersicum (tomato)
ko00270,Cysteine and methionine metabolism - Solanum lycopersicum (tomato)
ko04141,Protein processing in endoplasmic reticulum - Solanum lycopersicum (tomato)
ko00730,Thiamine metabolism - Solanum lycopersicum (tomato)
ko00604,Glycosphingolipid biosynthesis - ganglio series - Solanum lycopersicum (tomato)
ko00660,C5-Branched dibasic acid metabolism - Solanum lycopersicum (tomato)
ko03450,Non-homologous end-joining - Solanum lycopersicum (tomato)
ko00010,Glycolysis / Gluconeogenesis - Solanum lycopersicum (tomato)
ko03030,DNA replication - Solanum lycopersicum (tomato)
ko00904,Diterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko00071,Fatty acid degradation - Solanum lycopersicum (tomato)
ko04144,Endocytosis - Solanum lycopersicum (tomato)
ko04075,Plant hormone signal transduction - Solanum lycopersicum (tomato)
ko00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis - Solanum lycopersicum (tomato)"
ko00240,Pyrimidine metabolism - Solanum lycopersicum (tomato)
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Solanum lycopersicum (tomato)"
ko00998,Biosynthesis of various secondary metabolites - part 2 - Solanum lycopersicum (tomato)
ko00062,Fatty acid elongation - Solanum lycopersicum (tomato)
ko02010,ABC transporters - Solanum lycopersicum (tomato)
ko03410,Base excision repair - Solanum lycopersicum (tomato)
ko00290,"Valine, leucine and isoleucine biosynthesis - Solanum lycopersicum (tomato)"
ko00942,Anthocyanin biosynthesis - Solanum lycopersicum (tomato)
ko03040,Spliceosome - Solanum lycopersicum (tomato)
ko00531,Glycosaminoglycan degradation - Solanum lycopersicum (tomato)
ko00330,Arginine and proline metabolism - Solanum lycopersicum (tomato)
ko00592,alpha-Linolenic acid metabolism - Solanum lycopersicum (tomato)
ko00790,Folate biosynthesis - Solanum lycopersicum (tomato)
ko00944,Flavone and flavonol biosynthesis - Solanum lycopersicum (tomato)
ko00740,Riboflavin metabolism - Solanum lycopersicum (tomato)
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis - Solanum lycopersicum (tomato)
ko03013,RNA transport - Solanum lycopersicum (tomato)
ko00640,Propanoate metabolism - Solanum lycopersicum (tomato)
ko00940,Phenylpropanoid biosynthesis - Solanum lycopersicum (tomato)
ko00780,Biotin metabolism - Solanum lycopersicum (tomato)
ko03015,mRNA surveillance pathway - Solanum lycopersicum (tomato)
ko00520,Amino sugar and nucleotide sugar metabolism - Solanum lycopersicum (tomato)
ko00072,Synthesis and degradation of ketone bodies - Solanum lycopersicum (tomato)
ko00053,Ascorbate and aldarate metabolism - Solanum lycopersicum (tomato)
ko00591,Linoleic acid metabolism - Solanum lycopersicum (tomato)
ko00350,Tyrosine metabolism - Solanum lycopersicum (tomato)
ko04070,Phosphatidylinositol signaling system - Solanum lycopersicum (tomato)
ko00909,Sesquiterpenoid and triterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko00900,Terpenoid backbone biosynthesis - Solanum lycopersicum (tomato)
ko00500,Starch and sucrose metabolism - Solanum lycopersicum (tomato)
ko00340,Histidine metabolism - Solanum lycopersicum (tomato)
ko00514,Other types of O-glycan biosynthesis - Solanum lycopersicum (tomato)
ko00430,Taurine and hypotaurine metabolism - Solanum lycopersicum (tomato)
ko00601,Glycosphingolipid biosynthesis - lacto and neolacto series - Solanum lycopersicum (tomato)
ko00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Solanum lycopersicum (tomato)
ko00950,Isoquinoline alkaloid biosynthesis - Solanum lycopersicum (tomato)
ko00232,Caffeine metabolism - Solanum lycopersicum (tomato)
ko03440,Homologous recombination - Solanum lycopersicum (tomato)
