species_name,species_code,unique_gene_identifiers,other_gene_identifiers,gene_models,text_unprocessed,annotations,reference_name,reference_link,reference_file
Zea mays ssp mays,zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028,,GO:0009739|PATO:0002302,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Zea mays ssp mays,zma,ns2|NM_001111772.1,narrow sheath2,,,GO:0009739|PATO:0002302,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Zea mays ssp mays,zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028,,PO:0000003|PATO:0000569,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Zea mays ssp mays,zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028,,PO:0020142|PATO:0000574,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Zea mays ssp mays,zma,ns2|NM_001111772.1,narrow sheath2,,,PO:0000003|PATO:0000569,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Zea mays ssp mays,zma,ns2|NM_001111772.1,narrow sheath2,,,PO:0020142|PATO:0000574,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Arabidopsis thaliana,ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,,PO:0009010|PATO:0001241|PATO:0000460,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Arabidopsis thaliana,ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,,GO:2000014|PATO:0001236|PATO:0000460,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Arabidopsis thaliana,ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,,PO:0000003|PATO:0001834,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
Arabidopsis thaliana,ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,,PO:0009010|PATO:0002460,"Oellrich, Walls et al., 2015",https://plantmethods.biomedcentral.com/articles/10.1186/s13007-015-0053-y,13007_2015_53_MOESM1_ESM.csv
