species_name,species_code,unique_gene_identifiers,other_gene_identifiers,gene_models,text_unprocessed,annotations,reference_name,reference_link,reference_file
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0005634,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0005634,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0003700,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0003677,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0016021,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0005739,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
