group_id,group_name
ko00590,Arachidonic acid metabolism - Homo sapiens (human)
ko00220,Arginine biosynthesis - Homo sapiens (human)
ko00591,Linoleic acid metabolism - Homo sapiens (human)
ko00750,Vitamin B6 metabolism - Homo sapiens (human)
ko00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
ko00195,Photosynthesis - Solanum lycopersicum (tomato)
ko00340,Histidine metabolism - Homo sapiens (human)
ko00430,Taurine and hypotaurine metabolism - Homo sapiens (human)
ko04130,SNARE interactions in vesicular transport - Homo sapiens (human)
ko00785,Lipoic acid metabolism - Homo sapiens (human)
ko00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
ko00592,alpha-Linolenic acid metabolism - Homo sapiens (human)
ko00790,Folate biosynthesis - Homo sapiens (human)
ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis - Solanum lycopersicum (tomato)"
ko00196,Photosynthesis - antenna proteins - Solanum lycopersicum (tomato)
ko00380,Tryptophan metabolism - Homo sapiens (human)
ko00780,Biotin metabolism - Homo sapiens (human)
ko00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human)
ko03060,Protein export - Homo sapiens (human)
ko00232,Caffeine metabolism - Homo sapiens (human)
ko00030,Pentose phosphate pathway - Homo sapiens (human)
ko00965,Betalain biosynthesis - Solanum lycopersicum (tomato)
ko04120,Ubiquitin mediated proteolysis - Homo sapiens (human)
ko04136,Autophagy - other - Homo sapiens (human)
ko00350,Tyrosine metabolism - Homo sapiens (human)
ko04122,Sulfur relay system - Homo sapiens (human)
ko00620,Pyruvate metabolism - Homo sapiens (human)
ko00998,Biosynthesis of various secondary metabolites - part 2 - Solanum lycopersicum (tomato)
ko00740,Riboflavin metabolism - Homo sapiens (human)
ko00230,Purine metabolism - Homo sapiens (human)
ko00966,Glucosinolate biosynthesis - Solanum lycopersicum (tomato)
ko00190,Oxidative phosphorylation - Homo sapiens (human)
ko00450,Selenocompound metabolism - Homo sapiens (human)
ko04144,Endocytosis - Homo sapiens (human)
ko00901,Indole alkaloid biosynthesis - Arabidopsis thaliana (thale cress)
ko00040,Pentose and glucuronate interconversions - Homo sapiens (human)
ko00531,Glycosaminoglycan degradation - Homo sapiens (human)
ko03010,Ribosome - Homo sapiens (human)
ko00280,"Valine, leucine and isoleucine degradation - Homo sapiens (human)"
ko00900,Terpenoid backbone biosynthesis - Homo sapiens (human)
ko00860,Porphyrin and chlorophyll metabolism - Homo sapiens (human)
ko04145,Phagosome - Homo sapiens (human)
ko00902,Monoterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko00240,Pyrimidine metabolism - Homo sapiens (human)
ko03013,RNA transport - Homo sapiens (human)
ko00730,Thiamine metabolism - Homo sapiens (human)
ko00903,Limonene and pinene degradation - Solanum lycopersicum (tomato)
ko00650,Butanoate metabolism - Homo sapiens (human)
ko04146,Peroxisome - Homo sapiens (human)
ko00330,Arginine and proline metabolism - Homo sapiens (human)
ko00640,Propanoate metabolism - Homo sapiens (human)
ko00052,Galactose metabolism - Homo sapiens (human)
ko00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"
ko00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
ko00906,Carotenoid biosynthesis - Solanum lycopersicum (tomato)
ko00480,Glutathione metabolism - Homo sapiens (human)
ko04141,Protein processing in endoplasmic reticulum - Homo sapiens (human)
ko03410,Base excision repair - Homo sapiens (human)
ko00904,Diterpenoid biosynthesis - Solanum lycopersicum (tomato)
ko00910,Nitrogen metabolism - Homo sapiens (human)
ko00051,Fructose and mannose metabolism - Homo sapiens (human)
