species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028, Plants (stems) do not elongate in response to gibberellins.,,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,, Plants (stems) do not elongate in response to gibberellins.,,Plant PhenomeNET
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028,Plants are reduced in height,,Plant PhenomeNET
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028,extremely shortened internodes,,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,,Plants are reduced in height,,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,,extremely shortened internodes,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,50% defective seeds,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,Low penetrance of endosperm development without fertilization,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,Reduced fertility,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,Shriveled seeds,,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021350,lha|cytochrome P450 monoxygenase,Medtr3g021350,Impaired hemolytic saponin synthesis,,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021350,lha|cytochrome P450 monoxygenase,Medtr3g021350,Plant growth stunted,,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021180,lha|cytochrome P450 monoxygenase,Medtr3g021180,Impaired hemolytic saponin synthesis,,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021180,lha|cytochrome P450 monoxygenase,Medtr3g021180,Plant growth stunted,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,degenerated lemma,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,degenerated palea,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,stamen nonfunctional ,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,male sterile,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,stamens malformed ,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,stamens transformed to pistils ,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,stamens transformed to pistils ,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,Mutant floret has 3 ovaries,,Plant PhenomeNET
osa,SL1|Os01g0129200,stl1.1|STAMENLESS 1,Os01g0129200,female fertile,,Plant PhenomeNET
zma,d9|GRMZM2G024973,D9-N2319|dwarf plant9,GRMZM2G024973,whole plant short,,Plant PhenomeNET
zma,d9|GRMZM2G024973,D9-N2319|dwarf plant9,GRMZM2G024973,leaves broad,,Plant PhenomeNET
zma,d9|GRMZM2G024973,D9-N2319|dwarf plant9,GRMZM2G024973,compact  tassel,,Plant PhenomeNET
zma,d8|GRMZM2G144744,D8-Mpl|dwarf plant8,GRMZM2G144744,whole plant short,,Plant PhenomeNET
zma,d8|GRMZM2G144744,D8-Mpl|dwarf plant8,GRMZM2G144744,leaves broad,,Plant PhenomeNET
zma,d8|GRMZM2G144744,D8-Mpl|dwarf plant8,GRMZM2G144744,compact  tassel,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,small grain,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,dwarf,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,short stems,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,short leaves,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,broad leaves ,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,dark green leaves,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,erect paincles,,Plant PhenomeNET
osa,D1|Os05g0333200,D1.1|DAIKOKU DWARF,Os05g0333200,compact panicles,,Plant PhenomeNET
