species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
zma,ns1|GRMZM2G069028,narrow sheath1,GRMZM2G069028," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
zma,ns2|NM_001111772.1,narrow sheath2,," Plants are reduced in height due to extremely shortened internodes but have normal size and number of leaves, ears, tassels, etc. Plants do not elongate in response to gibberellins.",,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,50% defective seeds; Low penetrance of endosperm development without fertilization; Reduced fertility; Shriveled seeds,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,50% defective seeds; Low penetrance of endosperm development without fertilization; Reduced fertility; Shriveled seeds,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,50% defective seeds; Low penetrance of endosperm development without fertilization; Reduced fertility; Shriveled seeds,,Plant PhenomeNET
ath,UBP26|At3g49600,Ubiquitin-Specific Protease,At3g49600,50% defective seeds; Low penetrance of endosperm development without fertilization; Reduced fertility; Shriveled seeds,,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021350,lha|cytochrome P450 monoxygenase,Medtr3g021350,"A cytochrome P450 gene (CYP716A12) is involved in an early step in saponin biosynthesis and is found in most tissues.  CYP716A12 loss-of-function mutants do not produce hemolytic saponins and only synthetize soyasaponins, and were thus named lacking hemolytic activity (lha).  CYP716A12 catalyzes the oxidation of _-amyrin and erythrodiol at the C-28 position, yielding oleanolic acid. Transcriptome changes in the lha mutant showed a modulation in the main steps of the triterpenic saponin biosynthetic pathway, which includes squalene cyclization, _-amyrin oxidation, and glycosylation.  Growth of homozygous lha/lha plants was stunted.",,Plant PhenomeNET
mtr,cyp716A12|Medtr3g021350,lha|cytochrome P450 monoxygenase,Medtr3g021350,"A cytochrome P450 gene (CYP716A12) is involved in an early step in saponin biosynthesis and is found in most tissues.  CYP716A12 loss-of-function mutants do not produce hemolytic saponins and only synthetize soyasaponins, and were thus named lacking hemolytic activity (lha).  CYP716A12 catalyzes the oxidation of _-amyrin and erythrodiol at the C-28 position, yielding oleanolic acid. Transcriptome changes in the lha mutant showed a modulation in the main steps of the triterpenic saponin biosynthetic pathway, which includes squalene cyclization, _-amyrin oxidation, and glycosylation.  Growth of homozygous lha/lha plants was stunted.",,Plant PhenomeNET
