group_id,group_name
PWY-5272,abscisic acid degradation by glucosylation
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I
PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5120,geranylgeranyl diphosphate biosynthesis
PWY-5807,heptaprenyl diphosphate biosynthesis
PWY-102,gibberellin inactivation I (2&beta;-hydroxylation)
PWY-6624,salicylate glucosides biosynthesis III
PWY-7213,wogonin metabolism
PWY-3221,dTDP-L-rhamnose biosynthesis II
PWY-5041,<i>S</i>-adenosyl-L-methionine cycle II
PWY-5410,traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis
THISYNARA-PWY,superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
PWY-2161,folate polyglutamylation
PWY-6066,IAA biosynthesis VII
PWY-5034,GA<sub>12</sub> biosynthesis
PWY-6845,nitric oxide biosynthesis (plants)
PWY-5868,simple coumarins biosynthesis
PWY-5957,L-nicotianamine biosynthesis
PWY-801,homocysteine and cysteine interconversion
PWY-2021,indole-3-acetate inactivation IV
PWY-5687,pyrimidine ribonucleotides interconversion
PWY-6927,chlorophyll <i>a</i> degradation II
NONMEVIPP-PWY,methylerythritol phosphate pathway I
PWY-7618,ricinoleate biosynthesis
PWY-6890,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-5123,"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"
PWY-5859,eugenol and isoeugenol biosynthesis
PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II
PWY-5173,superpathway of acetyl-CoA biosynthesis
PWY-5313,superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)
ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis
PWY4FS-7,phosphatidylglycerol biosynthesis I (plastidic)
PWY-4821,UDP-&alpha;-D-xylose biosynthesis
PWY-6233,jasmonoyl-amino acid conjugates biosynthesis II
PWY-6424,"26,27-dehydrozymosterol metabolism"
PWY-6663,plant sterol biosynthesis II
PWY-1186,L-homomethionine biosynthesis
PWY-5661,GDP-glucose biosynthesis
PWY-7205,CMP phosphorylation
PWY-6118,glycerol-3-phosphate shuttle
PWYQT-4475,glucosinolate biosynthesis from hexahomomethionine
PWY-6115,"avenacin biosynthesis, initial reactions"
PWY0-1264,biotin-carboxyl carrier protein assembly
ASPARAGINE-DEG1-PWY,L-asparagine degradation I
PWY1F-823,leucopelargonidin and leucocyanidin biosynthesis
PWY-5486,pyruvate fermentation to ethanol II
PWY-6007,arabidiol biosynthesis
PWY-7560,methylerythritol phosphate pathway II
PWY-5122,geranyl diphosphate biosynthesis
PWY-5203,soybean saponin I biosynthesis
HEME-BIOSYNTHESIS-II,heme <i>b</i> biosynthesis I (aerobic)
PWY-6762,salicylate glucosides biosynthesis IV
PWY-4101,D-sorbitol degradation I
PWY-7417,"phospholipid remodeling (phosphatidate, yeast)"
PWY-6446,"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)"
PWY-40,putrescine biosynthesis I
NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch)
PWY-5692,allantoin degradation to glyoxylate II
PWYQT-4476,indole glucosinolate activation (herbivore attack)
CYSTSYN-PWY,L-cysteine biosynthesis I
PWY-321,cutin biosynthesis
PWY-5390,rutin biosynthesis
ASPSYNII-PWY,cyanide detoxification I
PWY-695,abscisic acid biosynthesis
PWY-7640,abscisic acid degradation to neophaseic acid
RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants)
PWY-5175,lactucaxanthin biosynthesis
PWY-6535,4-aminobutanoate degradation I
PWY0-501,lipoate biosynthesis and incorporation I
PWY-1782,superpathway of indole-3-acetate conjugate biosynthesis
PWY-5107,phytol salvage pathway
PWY-5348,kaempferol triglucoside biosynthesis
CALVIN-PWY,Calvin-Benson-Bassham cycle
PWY-882,L-ascorbate biosynthesis I (L-galactose pathway)
PWY-5097,L-lysine biosynthesis VI
PWY-6367,D-<i>myo</i>-inositol-5-phosphate metabolism
PWY-6910,hydroxymethylpyrimidine salvage
PWYQT-4473,glucosinolate biosynthesis from tetrahomomethionine
PWY-1741,indole-3-acetate inactivation IX
GLYOXYLATE-BYPASS,glyoxylate cycle
PWY-5046,2-oxoisovalerate decarboxylation to isobutanoyl-CoA
PWY-6898,thiamine salvage III
PWY-3461,L-tyrosine biosynthesis II
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle)
PWY-5805,nonaprenyl diphosphate biosynthesis I
PWY-5659,GDP-mannose biosynthesis
PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-101,photosynthesis light reactions
PWY-6909,thiazole biosynthesis III (eukaryotes)
PWY-7047,malate-oxaloacetate shuttle I
PWY-5725,farnesene biosynthesis
PWY3O-450,phosphatidylcholine biosynthesis I
PWY-6305,putrescine biosynthesis IV
PWY-5176,coumarin biosynthesis (via 2-coumarate)
PWY-6019,pseudouridine degradation
PWY-3301,sinapate ester biosynthesis
PWY-699,brassinosteroid biosynthesis I
PWY-6064,methylquercetin biosynthesis
GLYSYN2-PWY,glycine biosynthesis
