species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
sly,LOC_Os06g40240|LOC_Os06g40240,,LOC_Os06g40240LOC_Os06g40240,,GO:0006278,Planteome
sly,LOC_Os06g40240|LOC_Os06g40240,,LOC_Os06g40240LOC_Os06g40240,,GO:0016032,Planteome
sly,LOC_Os07g41220|LOC_Os07g41220,,LOC_Os07g41220LOC_Os07g41220,,GO:0006508,Planteome
sly,LOC_Os05g45110|LOC_Os05g45110,,LOC_Os05g45110LOC_Os05g45110,,GO:0008152,Planteome
sly,LOC_Os08g30200|LOC_Os08g30200,,LOC_Os08g30200LOC_Os08g30200,,GO:0006333,Planteome
sly,LOC_Os08g30200|LOC_Os08g30200,,LOC_Os08g30200LOC_Os08g30200,,GO:0015074,Planteome
sly,LOC_Os12g26444|LOC_Os12g26444,,LOC_Os12g26444LOC_Os12g26444,,GO:0006278,Planteome
sly,LOC_Os12g26444|LOC_Os12g26444,,LOC_Os12g26444LOC_Os12g26444,,GO:0006508,Planteome
sly,LOC_Os12g26444|LOC_Os12g26444,,LOC_Os12g26444LOC_Os12g26444,,GO:0015074,Planteome
sly,LOC_Os05g43960|LOC_Os05g43960,,LOC_Os05g43960LOC_Os05g43960,,GO:0006355,Planteome
sly,LOC_Os04g34190|LOC_Os04g34190,,LOC_Os04g34190LOC_Os04g34190,,GO:0006278,Planteome
sly,LOC_Os04g34190|LOC_Os04g34190,,LOC_Os04g34190LOC_Os04g34190,,GO:0006333,Planteome
sly,LOC_Os04g34190|LOC_Os04g34190,,LOC_Os04g34190LOC_Os04g34190,,GO:0006508,Planteome
sly,LOC_Os04g34190|LOC_Os04g34190,,LOC_Os04g34190LOC_Os04g34190,,GO:0007186,Planteome
sly,LOC_Os05g39280|LOC_Os05g39280,,LOC_Os05g39280LOC_Os05g39280,,GO:0006508,Planteome
sly,LOC_Os09g28990|LOC_Os09g28990,,LOC_Os09g28990LOC_Os09g28990,,GO:0006122,Planteome
sly,LOC_Os12g11110|LOC_Os12g11110,,LOC_Os12g11110LOC_Os12g11110,,GO:0006278,Planteome
sly,LOC_Os12g11110|LOC_Os12g11110,,LOC_Os12g11110LOC_Os12g11110,,GO:0006333,Planteome
sly,LOC_Os12g11110|LOC_Os12g11110,,LOC_Os12g11110LOC_Os12g11110,,GO:0006508,Planteome
sly,LOC_Os12g11110|LOC_Os12g11110,,LOC_Os12g11110LOC_Os12g11110,,GO:0015074,Planteome
sly,LOC_Os10g28930|LOC_Os10g28930,,LOC_Os10g28930LOC_Os10g28930,,GO:0006278,Planteome
sly,LOC_Os10g28930|LOC_Os10g28930,,LOC_Os10g28930LOC_Os10g28930,,GO:0006333,Planteome
sly,LOC_Os10g28930|LOC_Os10g28930,,LOC_Os10g28930LOC_Os10g28930,,GO:0006508,Planteome
sly,LOC_Os10g28930|LOC_Os10g28930,,LOC_Os10g28930LOC_Os10g28930,,GO:0015074,Planteome
sly,LOC_Os10g36720|LOC_Os10g36720,,LOC_Os10g36720LOC_Os10g36720,,GO:0006508,Planteome
sly,LOC_Os10g36720|LOC_Os10g36720,,LOC_Os10g36720LOC_Os10g36720,,GO:0015074,Planteome
sly,LOC_Os03g29224|LOC_Os03g29224,,LOC_Os03g29224LOC_Os03g29224,,GO:0006278,Planteome
sly,LOC_Os03g29224|LOC_Os03g29224,,LOC_Os03g29224LOC_Os03g29224,,GO:0015074,Planteome
sly,LOC_Os07g03940|LOC_Os07g03940,,LOC_Os07g03940LOC_Os07g03940,,GO:0006508,Planteome
sly,LOC_Os07g03940|LOC_Os07g03940,,LOC_Os07g03940LOC_Os07g03940,,GO:0015074,Planteome
sly,LOC_Os06g24110|LOC_Os06g24110,,LOC_Os06g24110LOC_Os06g24110,,GO:0006278,Planteome
sly,LOC_Os06g24110|LOC_Os06g24110,,LOC_Os06g24110LOC_Os06g24110,,GO:0015074,Planteome
sly,LOC_Os01g20206|LOC_Os01g20206,,LOC_Os01g20206LOC_Os01g20206,,GO:0008152,Planteome
sly,LOC_Os11g32540|LOC_Os11g32540,,LOC_Os11g32540LOC_Os11g32540,,GO:0006633,Planteome
sly,LOC_Os11g32540|LOC_Os11g32540,,LOC_Os11g32540LOC_Os11g32540,,GO:0008152,Planteome
sly,LOC_Os11g32540|LOC_Os11g32540,,LOC_Os11g32540LOC_Os11g32540,,GO:0009058,Planteome
sly,LOC_Os06g46530|LOC_Os06g46530,,LOC_Os06g46530LOC_Os06g46530,,GO:0006508,Planteome
sly,LOC_Os01g14926|LOC_Os01g14926,,LOC_Os01g14926LOC_Os01g14926,,GO:0006468,Planteome
sly,LOC_Os11g14290|LOC_Os11g14290,,LOC_Os11g14290LOC_Os11g14290,,GO:0042309,Planteome
sly,LOC_Os11g14290|LOC_Os11g14290,,LOC_Os11g14290LOC_Os11g14290,,GO:0050826,Planteome
sly,LOC_Os02g22300|LOC_Os02g22300,,LOC_Os02g22300LOC_Os02g22300,,GO:0006508,Planteome
sly,LOC_Os09g13150|LOC_Os09g13150,,LOC_Os09g13150LOC_Os09g13150,,GO:0006278,Planteome
sly,LOC_Os09g13150|LOC_Os09g13150,,LOC_Os09g13150LOC_Os09g13150,,GO:0006508,Planteome
sly,LOC_Os06g13310|LOC_Os06g13310,,LOC_Os06g13310LOC_Os06g13310,,GO:0009405,Planteome
sly,LOC_Os04g26280|LOC_Os04g26280,,LOC_Os04g26280LOC_Os04g26280,,GO:0007186,Planteome
sly,LOC_Os03g43160|LOC_Os03g43160,,LOC_Os03g43160LOC_Os03g43160,,GO:0006278,Planteome
sly,LOC_Os08g03970|LOC_Os08g03970,,LOC_Os08g03970LOC_Os08g03970,,GO:0006278,Planteome
sly,LOC_Os08g03970|LOC_Os08g03970,,LOC_Os08g03970LOC_Os08g03970,,GO:0006508,Planteome
sly,LOC_Os08g03970|LOC_Os08g03970,,LOC_Os08g03970LOC_Os08g03970,,GO:0015074,Planteome
sly,LOC_Os07g30210|LOC_Os07g30210,,LOC_Os07g30210LOC_Os07g30210,,GO:0015904,Planteome
sly,LOC_Os07g30210|LOC_Os07g30210,,LOC_Os07g30210LOC_Os07g30210,,GO:0046677,Planteome
sly,LOC_Os04g44220|LOC_Os04g44220,,LOC_Os04g44220LOC_Os04g44220,,GO:0016070,Planteome
sly,LOC_Os07g10330|LOC_Os07g10330,,LOC_Os07g10330LOC_Os07g10330,,GO:0016068,Planteome
sly,LOC_Os02g53040|LOC_Os02g53040,,LOC_Os02g53040LOC_Os02g53040,,GO:0006468,Planteome
sly,LOC_Os02g39310|LOC_Os02g39310,,LOC_Os02g39310LOC_Os02g39310,,GO:0042309,Planteome
sly,LOC_Os02g39310|LOC_Os02g39310,,LOC_Os02g39310LOC_Os02g39310,,GO:0050826,Planteome
sly,LOC_Os01g33220|LOC_Os01g33220,,LOC_Os01g33220LOC_Os01g33220,,GO:0006278,Planteome
sly,LOC_Os01g33220|LOC_Os01g33220,,LOC_Os01g33220LOC_Os01g33220,,GO:0006508,Planteome
sly,LOC_Os04g32310|LOC_Os04g32310,,LOC_Os04g32310LOC_Os04g32310,,GO:0006468,Planteome
sly,LOC_Os02g52870|LOC_Os02g52870,,LOC_Os02g52870LOC_Os02g52870,,GO:0007010,Planteome
sly,LOC_Os09g03440|LOC_Os09g03440,,LOC_Os09g03440LOC_Os09g03440,,GO:0006508,Planteome
sly,LOC_Os01g66700|LOC_Os01g66700,,LOC_Os01g66700LOC_Os01g66700,,GO:0005975,Planteome
sly,LOC_Os02g52850|LOC_Os02g52850,,LOC_Os02g52850LOC_Os02g52850,,GO:0006468,Planteome
sly,LOC_Os02g52850|LOC_Os02g52850,,LOC_Os02g52850LOC_Os02g52850,,GO:0006508,Planteome
sly,LOC_Os02g52850|LOC_Os02g52850,,LOC_Os02g52850LOC_Os02g52850,,GO:0007596,Planteome
sly,LOC_Os09g06150|LOC_Os09g06150,,LOC_Os09g06150LOC_Os09g06150,,GO:0006278,Planteome
sly,LOC_Os09g06150|LOC_Os09g06150,,LOC_Os09g06150LOC_Os09g06150,,GO:0006508,Planteome
sly,LOC_Os09g06150|LOC_Os09g06150,,LOC_Os09g06150LOC_Os09g06150,,GO:0015074,Planteome
sly,LOC_Os09g06150|LOC_Os09g06150,,LOC_Os09g06150LOC_Os09g06150,,GO:0016032,Planteome
sly,LOC_Os05g22590|LOC_Os05g22590,,LOC_Os05g22590LOC_Os05g22590,,GO:0015074,Planteome
sly,LOC_Os09g22030|LOC_Os09g22030,,LOC_Os09g22030LOC_Os09g22030,,GO:0006278,Planteome
sly,LOC_Os02g42110|LOC_Os02g42110,,LOC_Os02g42110LOC_Os02g42110,,GO:0006468,Planteome
sly,LOC_Os01g45690|LOC_Os01g45690,,LOC_Os01g45690LOC_Os01g45690,,GO:0006278,Planteome
sly,LOC_Os01g45690|LOC_Os01g45690,,LOC_Os01g45690LOC_Os01g45690,,GO:0006508,Planteome
sly,LOC_Os01g45690|LOC_Os01g45690,,LOC_Os01g45690LOC_Os01g45690,,GO:0015074,Planteome
sly,LOC_Os07g16850|LOC_Os07g16850,,LOC_Os07g16850LOC_Os07g16850,,GO:0006278,Planteome
sly,LOC_Os07g16850|LOC_Os07g16850,,LOC_Os07g16850LOC_Os07g16850,,GO:0006333,Planteome
sly,LOC_Os07g16850|LOC_Os07g16850,,LOC_Os07g16850LOC_Os07g16850,,GO:0006508,Planteome
sly,LOC_Os07g16850|LOC_Os07g16850,,LOC_Os07g16850LOC_Os07g16850,,GO:0007155,Planteome
sly,LOC_Os07g16850|LOC_Os07g16850,,LOC_Os07g16850LOC_Os07g16850,,GO:0015074,Planteome
sly,LOC_Os10g40840|LOC_Os10g40840,,LOC_Os10g40840LOC_Os10g40840,,GO:0006278,Planteome
sly,LOC_Os03g33720|LOC_Os03g33720,,LOC_Os03g33720LOC_Os03g33720,,GO:0015074,Planteome
sly,LOC_Os04g09770|LOC_Os04g09770,,LOC_Os04g09770LOC_Os04g09770,,GO:0006468,Planteome
sly,LOC_Os10g03490|LOC_Os10g03490,,LOC_Os10g03490LOC_Os10g03490,,GO:0006468,Planteome
sly,LOC_Os04g27420|LOC_Os04g27420,,LOC_Os04g27420LOC_Os04g27420,,GO:0006278,Planteome
