species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
sly,Solyc01g008710|man4,"mannan endo-1,4-beta-mannosidase|man4i",Solyc01g008710,Inactive allele of mannosidase that occurs in some tomato varieties.,,SGN
sly,Solyc01g009070|gamybl1,gamyb-like 1|gib-1,Solyc01g009070,deficient in gibberelin (GA) and their seeds require exogenous GA to germinate,,SGN
sly,Solyc01g056340|det1,de-etiolated 1|1,Solyc01g056340,"Similar to hp-1; enhances all pigments of green and mature red fruits; in presence of u^+ allele, immature fruit are completely dark green.",,SGN
sly,Solyc01g056340|det1,de-etiolated 1|dg|dark green,Solyc01g056340,"Immature fruit color normal; darker green color appears as fruit develops, then persists until onset of ripening, high chlorophyll compared to wild type or hp-1.",,SGN
sly,Solyc01g056340|det1,de-etiolated 1|j|Jones,Solyc01g056340,Similar to hp-2.,,SGN
sly,Solyc01g079620|y,colorless fruit epidermis|1,Solyc01g079620,Fruit epidermis lacks pigmentation.,,SGN
sly,Solyc01g091630|CD2,cutin deficient 2|cd2,Solyc01g091630,Extremely low levels (less than 2%) of cutin in the fruit cuticle,,SGN
sly,Solyc01g100490|chln,chloronerva|1,Solyc01g100490,Upper leaves smaller and chlorotic interveinally; strong graft response.,,SGN
sly,Solyc01g100490|chln,chloronerva|chln-1,Solyc01g100490,"This mutant is an auxotroph for nicotianmine, a key polyamine in iron uptake responses",,SGN
sly,Solyc01g104340|Gr,green ripe|1,Solyc01g104340,"Resembles gf, except that center of fruit turns red.",,SGN
sly,Solyc02g021650|ddb1,UV damaged DNA binding protein 1|1,Solyc02g021650,"Chlorophyll, carotenoids, ascorbic acid content of fruit intensified.",,SGN
sly,Solyc02g021650|ddb1,UV damaged DNA binding protein 1|hp-1|high-pigment 1,Solyc02g021650,Increased plastid size and number; dark green leaves and deep red fruits.,,SGN
sly,Solyc02g021650|ddb1,UV damaged DNA binding protein 1|w|WB3,Solyc02g021650,"Similar to hp-1, but more extreme phenotype.",,SGN
sly,Solyc02g077390|s,compound inflorescence|1,Solyc02g077390,Very compound inflorescences.,,SGN
sly,Solyc02g077390|s,compound inflorescence|mih|malschor isura heirloom,Solyc02g077390,compound inflorescence,,SGN
sly,Solyc02g077390|s,compound inflorescence|mult|multiflora LA0560,Solyc02g077390,compound inflorescence,,SGN
sly,Solyc02g077390|s,compound inflorescence|rh|reisentraube heirloom,Solyc02g077390,compound inflorescence,,SGN
sly,Solyc02g077390|s,compound inflorescence|rqm|rose quartz multiflora,Solyc02g077390,compound inflorescence,,SGN
sly,Solyc02g077390|s,compound inflorescence|yrh|yellow Reisentraube Heirloom,Solyc02g077390,compound inflorescence,,SGN
sly,Solyc02g081120|LeT6,class 1 knotted-like homeodomain protein|Cu|Curl,Solyc02g081120,Mid- and lateral veins and petiole greatly foreshortened producing crumpled leaf; homozygous viable.,,SGN
