species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR
ath,AT1G01010,,AT1G01010,,GO:0005634,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0005634,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0003700,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01010,,AT1G01010,,GO:0003677,TAIR
ath,AT1G01010,,AT1G01010,,GO:0016021,TAIR
ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR
ath,AT1G01010,,AT1G01010,,GO:0006355,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0005739,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR
ath,AT1G01020,,AT1G01020,,GO:0032541,TAIR
ath,AT1G01020,,AT1G01020,,GO:0009507,TAIR
ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR
ath,AT1G01020,,AT1G01020,,GO:0005739,TAIR
ath,AT1G01020,,AT1G01020,,GO:0003674,TAIR
ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR
ath,AT1G01020,,AT1G01020,,GO:0032366,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0097036,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0005789,TAIR
ath,AT1G01020,,AT1G01020,,GO:0005739,TAIR
