species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0005783,TAIR
ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR
ath,AT1G01020,,AT1G01020,,GO:0003674,TAIR
ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR
ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR
ath,AT1G01030,,AT1G01030,,GO:0048366,TAIR
ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR
ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR
ath,AT1G01030,,AT1G01030,,GO:0009908,TAIR
ath,AT1G01040,,AT1G01040,,GO:0035196,TAIR
ath,AT1G01040,,AT1G01040,,GO:0035279,TAIR
ath,AT1G01040,,AT1G01040,,GO:0030422,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010267,TAIR
ath,AT1G01040,,AT1G01040,,GO:0035196,TAIR
ath,AT1G01040,,AT1G01040,,GO:0009880,TAIR
ath,AT1G01040,,AT1G01040,,GO:0009616,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010445,TAIR
ath,AT1G01040,,AT1G01040,,GO:2000034,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010599,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005634,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010228,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010098,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010445,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010267,TAIR
ath,AT1G01040,,AT1G01040,,GO:0010599,TAIR
ath,AT1G01040,,AT1G01040,,GO:0009908,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR
ath,AT1G01040,,AT1G01040,,GO:0009616,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR
ath,AT1G01040,,AT1G01040,,GO:0003725,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005634,TAIR
ath,AT1G01040,,AT1G01040,,GO:0031053,TAIR
ath,AT1G01040,,AT1G01040,,GO:0035279,TAIR
ath,AT1G01040,,AT1G01040,,GO:0031053,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR
ath,AT1G01040,,AT1G01040,,GO:0030422,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR
ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR
ath,AT1G01046,,AT1G01046,,GO:0003674,TAIR
ath,AT1G01046,,AT1G01046,,GO:0005575,TAIR
ath,AT1G01046,,AT1G01046,,GO:0008150,TAIR
ath,AT1G01050,,AT1G01050,,GO:0005737,TAIR
ath,AT1G01050,,AT1G01050,,GO:0005634,TAIR
ath,AT1G01050,,AT1G01050,,GO:0004427,TAIR
ath,AT1G01050,,AT1G01050,,GO:0019915,TAIR
ath,AT1G01050,,AT1G01050,,GO:0005829,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009733,TAIR
ath,AT1G01060,,AT1G01060,,GO:0042752,TAIR
ath,AT1G01060,,AT1G01060,,GO:0006355,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009723,TAIR
ath,AT1G01060,,AT1G01060,,GO:0006355,TAIR
ath,AT1G01060,,AT1G01060,,GO:0006355,TAIR
ath,AT1G01060,,AT1G01060,,GO:0043433,TAIR
ath,AT1G01060,,AT1G01060,,GO:0046686,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009409,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009739,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009753,TAIR
ath,AT1G01060,,AT1G01060,,GO:0042752,TAIR
ath,AT1G01060,,AT1G01060,,GO:0044212,TAIR
ath,AT1G01060,,AT1G01060,,GO:0003700,TAIR
ath,AT1G01060,,AT1G01060,,GO:0048574,TAIR
ath,AT1G01060,,AT1G01060,,GO:0043433,TAIR
ath,AT1G01060,,AT1G01060,,GO:0042754,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009409,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009737,TAIR
ath,AT1G01060,,AT1G01060,,GO:0048574,TAIR
ath,AT1G01060,,AT1G01060,,GO:0043433,TAIR
ath,AT1G01060,,AT1G01060,,GO:0007623,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009651,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009751,TAIR
ath,AT1G01060,,AT1G01060,,GO:0009651,TAIR
ath,AT1G01060,,AT1G01060,,GO:0044212,TAIR
ath,AT1G01073,,AT1G01073,,GO:0008150,TAIR
ath,AT1G01073,,AT1G01073,,GO:0003674,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009941,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009507,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009507,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009941,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0008150,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009941,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009507,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009941,TAIR
ath,AT1G01080,,AT1G01080,,GO:0005634,TAIR
ath,AT1G01080,,AT1G01080,,GO:0009570,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009941,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009507,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009941,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009570,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009941,TAIR
ath,AT1G01090,,AT1G01090,,GO:0009941,TAIR
