species_name,species_code,group_id,group_name,group_type,gene_identifier,reference_name,reference_file,reference_link
Solanum lycopersicum,sly,PWY-7007,methyl ketone biosynthesis (engineered),biochemical pathways,G3F-7580,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Arabidopsis thaliana,ath,ko00620,Pyruvate metabolism ,biochemical pathways,AT1G44170,KEGG,ath_pathway_files_from_api/path_ath[].txt,https://www.genome.jp/kegg/
Oryza sativa,osa,ko03010,Ribosome ,biochemical pathways,ncbi=4340887,KEGG,osa_pathway_files_from_api/path_osa[].txt,https://www.genome.jp/kegg/
Medicago truncatula,mtr,ko00250,"Alanine, aspartate and glutamate metabolism ",biochemical pathways,MTR_4g076100,KEGG,mtr_pathway_files_from_api/path_mtr[].txt,https://www.genome.jp/kegg/
Medicago truncatula,mtr,ko00520,Amino sugar and nucleotide sugar metabolism ,biochemical pathways,MTR_7g076670,KEGG,mtr_pathway_files_from_api/path_mtr[].txt,https://www.genome.jp/kegg/
Glycine max,gmx,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,biochemical pathways,GN7V-45582,PlantCyc,soycyc_pathways.20180702,https://plantcyc.org/downloads
Medicago truncatula,mtr,ko00591,Linoleic acid metabolism ,biochemical pathways,ncbi=MTR_8g018735,KEGG,mtr_pathway_files_from_api/path_mtr[].txt,https://www.genome.jp/kegg/
Zea mays ssp mays,zma,FASYN-ELONG-PWY,fatty acid elongation -- saturated,biochemical pathways,Zm00001d004042,PlantCyc,corncyc_pathways.20180702,https://plantcyc.org/downloads
Solanum lycopersicum,sly,PWY-6605,adenine and adenosine salvage II,biochemical pathways,Solyc05g020040.1,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Solanum lycopersicum,sly,PWY-101,photosynthesis light reactions,biochemical pathways,G3F-11626,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Zea mays ssp mays,zma,ko03430,Mismatch repair ,biochemical pathways,DNA mismatch repair protein MSH3 isoform X1,KEGG,zma_pathway_files_from_api/path_zma[].txt,https://www.genome.jp/kegg/
Zea mays ssp mays,zma,PWY-2881,cytokinins 7-<i>N</i>-glucoside biosynthesis,biochemical pathways,GDQC-10835-MONOMER,PlantCyc,corncyc_pathways.20180702,https://plantcyc.org/downloads
Oryza sativa,osa,PWY-621,sucrose degradation III (sucrose invertase),biochemical pathways,GN7F-16457-MONOMER,PlantCyc,oryzacyc_pathways.20180702,https://plantcyc.org/downloads
Oryza sativa,osa,PWY-6803,phosphatidylcholine acyl editing,biochemical pathways,GN7F-29332-MONOMER,PlantCyc,oryzacyc_pathways.20180702,https://plantcyc.org/downloads
Glycine max,gmx,ko04075,Plant hormone signal transduction ,biochemical pathways,100816582,KEGG,gmx_pathway_files_from_api/path_gmx[].txt,https://www.genome.jp/kegg/
Solanum lycopersicum,sly,PWY-4203,volatile benzenoid biosynthesis I (ester formation),biochemical pathways,G3F-11334-MONOMER,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Oryza sativa,osa,ko03010,Ribosome ,biochemical pathways,4332994,KEGG,osa_pathway_files_from_api/path_osa[].txt,https://www.genome.jp/kegg/
Solanum lycopersicum,sly,PWY-7497,3&beta;-hydroxysesquiterpene lactone biosynthesis,biochemical pathways,Solyc03g111920.2,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Oryza sativa,osa,PWY-2681,<i>trans</i>-zeatin biosynthesis,biochemical pathways,GN7F-23534-MONOMER,PlantCyc,oryzacyc_pathways.20180702,https://plantcyc.org/downloads
Solanum lycopersicum,sly,PWY-1121,suberin monomers biosynthesis,biochemical pathways,G3F-11659-MONOMER,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Glycine max,gmx,ko00561,Glycerolipid metabolism ,biochemical pathways,100783292,KEGG,gmx_pathway_files_from_api/path_gmx[].txt,https://www.genome.jp/kegg/
Medicago truncatula,mtr,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),biochemical pathways,Medtr3g110395,PlantCyc,mtruncatulacyc_pathways.20180702,https://plantcyc.org/downloads
Solanum lycopersicum,sly,PWY-7187,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II,biochemical pathways,G3F-12262-MONOMER,PlantCyc,tomatocyc_pathways.20180702,https://plantcyc.org/downloads
Glycine max,gmx,ko00270,Cysteine and methionine metabolism ,biochemical pathways,ncbi=100816974,KEGG,gmx_pathway_files_from_api/path_gmx[].txt,https://www.genome.jp/kegg/
Oryza sativa,osa,PWY-5143,long-chain fatty acid activation,biochemical pathways,GN7F-33044-MONOMER,PlantCyc,oryzacyc_pathways.20180702,https://plantcyc.org/downloads
Arabidopsis thaliana,ath,S,Embryo / Seed,phenotype class,EMB2736,"Lloyd and Meinke, 2012",192393Table_S2_Final_Revised.xls,http://www.plantphysiol.org/highwire/filestream/122682/field_highwire_adjunct_files/2/192393Table_S2_Final_Revised.xls
Oryza sativa,osa,ko04120,Ubiquitin mediated proteolysis ,biochemical pathways,ncbi=4330947,KEGG,osa_pathway_files_from_api/path_osa[].txt,https://www.genome.jp/kegg/
Zea mays ssp mays,zma,PWY-1042,glycolysis IV (plant cytosol),biochemical pathways,GDQC-13997-MONOMER,PlantCyc,corncyc_pathways.20180702,https://plantcyc.org/downloads
Oryza sativa,osa,ko03015,mRNA surveillance pathway ,biochemical pathways,ncbi=4344549,KEGG,osa_pathway_files_from_api/path_osa[].txt,https://www.genome.jp/kegg/
Zea mays ssp mays,zma,ko00230,Purine metabolism ,biochemical pathways,uncharacterized protein LOC100273583,KEGG,zma_pathway_files_from_api/path_zma[].txt,https://www.genome.jp/kegg/
Solanum lycopersicum,sly,ko00944,Flavone and flavonol biosynthesis ,biochemical pathways,putative flavonoid 3'5' hydroxylase,KEGG,sly_pathway_files_from_api/path_sly[].txt,https://www.genome.jp/kegg/
Solanum lycopersicum,sly,ko00030,Pentose phosphate pathway ,biochemical pathways,ncbi=101253137,KEGG,sly_pathway_files_from_api/path_sly[].txt,https://www.genome.jp/kegg/
Glycine max,gmx,GLUCONEO-PWY,gluconeogenesis I,biochemical pathways,GN7V-49591-MONOMER,PlantCyc,soycyc_pathways.20180702,https://plantcyc.org/downloads
Solanum lycopersicum,sly,ko00480,Glutathione metabolism ,biochemical pathways,glutathione transferase GST 23,KEGG,sly_pathway_files_from_api/path_sly[].txt,https://www.genome.jp/kegg/
Zea mays ssp mays,zma,ko04075,Plant hormone signal transduction ,biochemical pathways,IAA16-auxin-responsive Aux/IAA family member,KEGG,zma_pathway_files_from_api/path_zma[].txt,https://www.genome.jp/kegg/
Glycine max,gmx,ko00564,Glycerophospholipid metabolism ,biochemical pathways,100815600,KEGG,gmx_pathway_files_from_api/path_gmx[].txt,https://www.genome.jp/kegg/
Arabidopsis thaliana,ath,ko00561,Glycerolipid metabolism ,biochemical pathways,aldehyde dehydrogenase 3I1,KEGG,ath_pathway_files_from_api/path_ath[].txt,https://www.genome.jp/kegg/
Oryza sativa,osa,PWY0-501,lipoate biosynthesis and incorporation I,biochemical pathways,GN7F-20287,PlantCyc,oryzacyc_pathways.20180702,https://plantcyc.org/downloads
Glycine max,gmx,PWY-7197,pyrimidine deoxyribonucleotide phosphorylation,biochemical pathways,GN7V-54701-MONOMER,PlantCyc,soycyc_pathways.20180702,https://plantcyc.org/downloads
Zea mays ssp mays,zma,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),biochemical pathways,GDQC-11914-MONOMER,PlantCyc,corncyc_pathways.20180702,https://plantcyc.org/downloads
Arabidopsis thaliana,ath,ko04144,Endocytosis ,biochemical pathways,"Clathrin, heavy chain",KEGG,ath_pathway_files_from_api/path_ath[].txt,https://www.genome.jp/kegg/
