species,group_ids,gene_identifiers,pathway_id,pathway_id_for_species,pathway_name,pathway_class,gene_names,ncbi_id,uniprot_id,ko_number,ec_number
ath,ko00590,PLA2-ALPHA|Phospholipase A2 family protein|ncbi=AT2G06925|AT2G06925,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,PLA2-ALPHA|Phospholipase A2 family protein,AT2G06925,,KO:K01047,EC:3.1.1.4
ath,ko00590,SDP1-LIKE|sugar-dependent 1-like protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]|ncbi=AT3G57140|AT3G57140,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,SDP1-LIKE|sugar-dependent 1-like protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51],AT3G57140,,KO:K14674,
ath,ko00590,SDP1|Patatin-like phospholipase family protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51]|ncbi=AT5G04040|AT5G04040,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,SDP1|Patatin-like phospholipase family protein  [EC:3.1.1.3 3.1.1.13 3.1.1.4 2.3.1.51],AT5G04040,,KO:K14674,
ath,ko00590,Glutathione S-transferase family protein|ncbi=AT5G42150|AT5G42150,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,Glutathione S-transferase family protein,AT5G42150,,KO:K05309,EC:5.3.99.3
ath,ko00590,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197]|ncbi=AT3G59710|AT3G59710,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197],AT3G59710,,KO:K00079,
ath,ko00590,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197]|ncbi=AT5G61830|AT5G61830,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197],AT5G61830,,KO:K00079,
ath,ko00590,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197]|ncbi=AT5G51030|AT5G51030,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,NAD(P)-binding Rossmann-fold superfamily protein  [EC:1.1.1.184 1.1.1.189 1.1.1.197],AT5G51030,,KO:K00079,
ath,ko00590,peptidase M1 family protein|ncbi=AT5G13520|AT5G13520,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,peptidase M1 family protein,AT5G13520,,KO:K01254,EC:3.3.2.6
ath,ko00590,GGT1|gamma-glutamyl transpeptidase 1  [EC:2.3.2.2 3.4.19.13 3.4.19.14]|ncbi=AT4G39640|AT4G39640,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GGT1|gamma-glutamyl transpeptidase 1  [EC:2.3.2.2 3.4.19.13 3.4.19.14],AT4G39640,,KO:K18592,
ath,ko00590,GGT2|gamma-glutamyl transpeptidase 2  [EC:2.3.2.2 3.4.19.13 3.4.19.14]|ncbi=AT4G39650|AT4G39650,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GGT2|gamma-glutamyl transpeptidase 2  [EC:2.3.2.2 3.4.19.13 3.4.19.14],AT4G39650,,KO:K18592,
ath,ko00590,GGT3|gamma-glutamyl transpeptidase 3  [EC:2.3.2.2 3.4.19.13 3.4.19.14]|ncbi=AT1G69820|AT1G69820,ko00590,ath00590,Arachidonic acid metabolism - Arabidopsis thaliana (thale cress),Metabolism; Lipid metabolism,GGT3|gamma-glutamyl transpeptidase 3  [EC:2.3.2.2 3.4.19.13 3.4.19.14],AT1G69820,,KO:K18592,
