species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
ath,ATARCA|AT1G18080,RACK1A_AT|RACK1A|SAC53|AtRACK1|RECEPTOR FOR ACTIVATED C KINASE 1 A|Suppressor of Acaulis 53|T10F20.9|WD-40 REPEAT PROTEIN ATARCA,AT1G18080,,PO:0000003,TAIR
ath,HMG1|AT1G76490,HMGR1|AtHMGR1|MAD3|hydroxy methylglutaryl CoA reductase 1|3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1|miRNA action deficient 3|F15M4.1|3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE|HMG-COA REDUCTASE,AT1G76490,,PO:0000003,TAIR
ath,BAS1|AT2G26710,CYP734A1|CYP72B1|PHYB ACTIVATION TAGGED SUPPRESSOR 1|F18A8.8|F18A8_8,AT2G26710,,PO:0000003,TAIR
ath,BAK1|AT4G33430,RKS10|SERK3|ELG|ATSERK3|ATBAK1|BRI1-associated receptor kinase|RECEPTOR KINASES LIKE SERK 10|SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 3|ELONGATED|F17M5.190|F17M5_190,AT4G33430,,PO:0000003,TAIR
ath,BRI1|AT4G39400,CBB2|DWF2|BIN1|ATBRI1|BRASSINOSTEROID INSENSITIVE 1|CABBAGE 2|DWARF 2|BR INSENSITIVE 1|F23K16.30|F23K16_30,AT4G39400,,PO:0000003,TAIR
ath,ATJ6|AT5G06910,J-domain protein 6|MOJ9.8|MOJ9_8,AT5G06910,,PO:0000003,TAIR
ath,XPB2|AT5G41360,ATXPB2|homolog of Xeroderma pigmentosum complementation group B 2|ARABIDOPSIS HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 2|MYC6.7|MYC6_7,AT5G41360,,PO:0000003,TAIR
ath,XPB1|AT5G41370,ATXPB1|homolog of xeroderma pigmentosum complementation group B 1|ARABIDOPSIS HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 1|MYC6.8|MYC6_8,AT5G41370,,PO:0000003,TAIR
ath,PPCK2|AT3G04530,PEPCK2|ATPPCK2|phosphoenolpyruvate carboxylase kinase 2|T27C4.19|T27C4_19,AT3G04530,,PO:0000013,TAIR
ath,MYC2|AT1G32640,ATMYC2|RD22BP1|JAI1|JIN1|ZBF1|JASMONATE INSENSITIVE 1|F6N18.4|F6N18_4|RD22BP1,AT1G32640,,PO:0000017,TAIR
ath,ATSBT5.2|AT1G20160,CRSP|SBT5.2(a)|SBT5.2(b)|CO2 RESPONSE SECRETED PROTEASE|T20H2.6|T20H2_6,AT1G20160,,PO:0000036,TAIR
ath,SBT3.3|AT1G32960,ATSBT3.3|F9L11.13|F9L11_13,AT1G32960,,PO:0000036,TAIR
ath,SBT3.12|AT4G21326,ATSBT3.12|subtilase 3.12,AT4G21326,,PO:0000036,TAIR
ath,SBT1.3|AT5G51750,ATSBT1.3|subtilase 1.3|MIO24.12|MIO24_12,AT5G51750,,PO:0000036,TAIR
ath,SBT1.3|AT5G51750,ATSBT1.3|subtilase 1.3|MIO24.12|MIO24_12,AT5G51750,,PO:0000037,TAIR
ath,SEP3|AT1G24260,AGL9|SEPALLATA3|AGAMOUS-like 9|F3I6.19|F3I6_19|TRANSCRIPTION FACTOR AGL9,AT1G24260,,PO:0000229,TAIR
ath,RABA1b|AT1G16920,RAB11|ATRABA1B|BEX5|RAB GTPase homolog A1B|BFA-visualized exocytic trafficking defective 5|F17F16.26,AT1G16920,,PO:0000256,TAIR
ath,MYC2|AT1G32640,ATMYC2|RD22BP1|JAI1|JIN1|ZBF1|JASMONATE INSENSITIVE 1|F6N18.4|F6N18_4|RD22BP1,AT1G32640,,PO:0000256,TAIR
ath,RLP4|AT1G28340,AtRLP4|LLR2|receptor like protein 4|F3M18.23|F3M18_23,AT1G28340,,PO:0000282,TAIR
ath,RLP4|AT1G28340,AtRLP4|LLR2|receptor like protein 4|F3M18.23|F3M18_23,AT1G28340,,PO:0000293,TAIR
ath,SBT3.3|AT1G32960,ATSBT3.3|F9L11.13|F9L11_13,AT1G32960,,PO:0000293,TAIR
