species_name,species_code,unique_gene_identifiers,other_gene_identifiers,gene_models,text_unprocessed,annotations,reference_name,reference_link,reference_file
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01010,,AT1G01010,,GO:0044212,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0003674,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0016125,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0005783,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01020,,AT1G01020,,GO:0006665,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:1901371,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:1901371,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0048366,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0009908,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0048366,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01030,,AT1G01030,,GO:0006355,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010599,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010267,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0009880,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0005515,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0031053,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0035279,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010267,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0000910,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0009616,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010267,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010228,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:2000034,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0010599,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
Arabidopsis,ath,AT1G01040,,AT1G01040,,GO:0035279,TAIR,https://www.arabidopsis.org/,ATH_GO_GOSLIM.txt
