species_name,species_code,unique_gene_identifiers,other_gene_identifiers,gene_models,text_unprocessed,annotations,reference_name,reference_link,reference_file
maize,zma,bx1|GRMZM2G085381,benzoxazinless1|MaizeGDB:GRMZM2G085381,GRMZM2G085381,,GO:0000162,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,mpk2|GRMZM2G020216,MAP kinase2|MaizeGDB:GRMZM2G020216,GRMZM2G020216,,GO:0000302,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,crs1|GRMZM2G078412,chloroplast RNA splicing1|MaizeGDB:GRMZM2G078412,GRMZM2G078412,,GO:0000373,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,crs2|GRMZM2G132021,chloroplast RNA splicing2|MaizeGDB:GRMZM2G132021,GRMZM2G132021,,GO:0000373,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,gams1|ga-ms1,gametophytic male sterile1|MaizeGDB:ga-ms1,,,GO:0000775,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,afd1|GRMZM2G059037,absence of first division1|MaizeGDB:GRMZM2G059037|rec8,GRMZM2G059037,,GO:0000800,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,add1|GRMZM2G120178,alternative discordia1|MaizeGDB:GRMZM2G120178,GRMZM2G120178,,GO:0000913,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,dcd1|GRMZM2G083459,discordia1|MaizeGDB:GRMZM2G083459,GRMZM2G083459,,GO:0000913,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,cr4|GRMZM2G051637,crinkly4|MaizeGDB:GRMZM2G051637,GRMZM2G051637,,GO:0001709,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,dek1|GRMZM2G321753,defective kernel1|MaizeGDB:GRMZM2G321753,GRMZM2G321753,,GO:0001709,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,sal1|GRMZM2G117935,supernumerary aleurone1|MaizeGDB:GRMZM2G117935,GRMZM2G117935,,GO:0001709,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,an1|GRMZM2G081554,anther ear1|MaizeGDB:GRMZM2G081554,GRMZM2G081554,,GO:0001763,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,kn1|GRMZM2G017087,knotted1|MaizeGDB:GRMZM2G017087,GRMZM2G017087,,GO:0001763,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,tb1|AC233950.1_FG002,teosinte branched1|MaizeGDB:AC233950.1_FG002,,,GO:0001763,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx1|GRMZM2G085381,benzoxazinless1|MaizeGDB:GRMZM2G085381,GRMZM2G085381,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx10|GRMZM2G311036,benzoxazinone synthesis10|MaizeGDB:GRMZM2G311036|bx10,GRMZM2G311036,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx11|GRMZM2G336824,benzoxazinone synthesis11|MaizeGDB:GRMZM2G336824|bx10b,GRMZM2G336824,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx12|GRMZM2G023325,benzoxazinone synthesis12|MaizeGDB:GRMZM2G023325|bx10c,GRMZM2G023325,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx2|GRMZM2G085661,benzoxazinone synthesis2|MaizeGDB:GRMZM2G085661,GRMZM2G085661,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx3|GRMZM2G167549,benzoxazinone synthesis3|MaizeGDB:GRMZM2G167549,GRMZM2G167549,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx4|GRMZM2G172491,benzoxazinone synthesis4|MaizeGDB:GRMZM2G172491,GRMZM2G172491,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bx5|GRMZM2G063756,benzoxazinone synthesis5|MaizeGDB:GRMZM2G063756,GRMZM2G063756,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,pr1|GRMZM2G025832,red aleurone1|MaizeGDB:GRMZM2G025832,GRMZM2G025832,,GO:0002213,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,id1|GRMZM2G011357,indeterminate growth1|MaizeGDB:GRMZM2G011357,GRMZM2G011357,,GO:0003677,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,am1|GRMZM5G883855,ameiotic1|MaizeGDB:GRMZM5G883855,GRMZM5G883855,,GO:0003682,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,crp1|GRMZM2G083950,chloroplast RNA processing1|MaizeGDB:GRMZM2G083950,GRMZM2G083950,,GO:0003723,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,ppr5|GRMZM2G025409,pentatricopeptide repeat 5|MaizeGDB:GRMZM2G025409,GRMZM2G025409,,GO:0003723,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,crp1|GRMZM2G083950,chloroplast RNA processing1|MaizeGDB:GRMZM2G083950,GRMZM2G083950,,GO:0003729,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,crs1|GRMZM2G078412,chloroplast RNA splicing1|MaizeGDB:GRMZM2G078412,GRMZM2G078412,,GO:0003729,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,ppr152|GRMZM2G050697,pentatricopeptide repeat protein152|MaizeGDB:GRMZM2G050697|hcf152,GRMZM2G050697,,GO:0003730,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,ae1|GRMZM2G032628,amylose extender1|MaizeGDB:GRMZM2G032628|SBEIIB,GRMZM2G032628,,GO:0003844,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,sbe3|GRMZM2G073054,starch branching enzyme3|MaizeGDB:GRMZM2G073054|sbe2a|SBEIIA,GRMZM2G073054,,GO:0003844,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,sbe3|GRMZM2G073054,starch branching enzyme3|MaizeGDB:GRMZM2G073054|sbe2a|SBEIIA,GRMZM2G073054,,GO:0003844,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,sbe3|GRMZM2G073054,starch branching enzyme3|MaizeGDB:GRMZM2G073054|sbe2a|SBEIIA,GRMZM2G073054,,GO:0003844,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bf1|GRMZM2G051219,blue fluorescent1|MaizeGDB:GRMZM2G051219,GRMZM2G051219,,GO:0004048,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
maize,zma,bf1|GRMZM2G051219,blue fluorescent1|MaizeGDB:GRMZM2G051219,GRMZM2G051219,,GO:0004049,MaizeGDB,https://www.maizegdb.org/,pheno_genes.txt
